post_code,percent_population_exposed,date,Brand
3620,1.82,1/1/2024,Brand X
3635,2.38,1/1/2024,Brand X
3650,21.97,1/1/2024,Brand X
3665,39.96,1/1/2024,Brand X
3680,0.12,1/1/2024,Brand X
3695,0,1/1/2024,Brand X
3710,41.69,1/1/2024,Brand X
3725,1.51,1/1/2024,Brand X
3740,5.19,1/1/2024,Brand X
3755,41.49,1/1/2024,Brand X
3770,2.73,1/1/2024,Brand X
3785,0.78,1/1/2024,Brand X
3800,26.04,1/1/2024,Brand X
3815,50.02,1/1/2024,Brand X
3830,1.77,1/1/2024,Brand X
3845,22.32,1/1/2024,Brand X
3860,26.45,1/1/2024,Brand X
3875,2.82,1/1/2024,Brand X
3890,5.76,1/1/2024,Brand X
3905,47.34,1/1/2024,Brand X
3920,0.81,1/1/2024,Brand X
3935,1.42,1/1/2024,Brand X
3950,36.06,1/1/2024,Brand X
3965,1.18,1/1/2024,Brand X
3980,38.51,1/1/2024,Brand X
3995,2.12,1/1/2024,Brand X
4000,0,1/1/2024,Brand X
4005,39.84,1/1/2024,Brand X
4010,21.93,1/1/2024,Brand X
4015,44.52,1/1/2024,Brand X
4020,24.18,1/1/2024,Brand X
4025,4.06,1/1/2024,Brand X
4030,4.92,1/1/2024,Brand X
4035,3.57,1/1/2024,Brand X
4040,29.12,1/1/2024,Brand X
4045,3.14,1/1/2024,Brand X
4050,2.54,1/1/2024,Brand X
4055,33.53,1/1/2024,Brand X
4060,47.99,1/1/2024,Brand X
4065,2.36,1/1/2024,Brand X
4070,23.98,1/1/2024,Brand X
4075,4.04,1/1/2024,Brand X
4080,0,1/1/2024,Brand X
4085,43.4,1/1/2024,Brand X
4090,3.93,1/1/2024,Brand X
4095,3.93,1/1/2024,Brand X
4100,2,1/1/2024,Brand X
4105,2.42,1/1/2024,Brand X
4110,51.61,1/1/2024,Brand X
4115,32.3,1/1/2024,Brand X
4120,48.59,1/1/2024,Brand X
4125,0,1/1/2024,Brand X
4130,3.26,1/1/2024,Brand X
4135,4.58,1/1/2024,Brand X
4140,4.25,1/1/2024,Brand X
4145,5.04,1/1/2024,Brand X
4150,43.53,1/1/2024,Brand X
4155,30.53,1/1/2024,Brand X
4160,20.81,1/1/2024,Brand X
4165,39.48,1/1/2024,Brand X
4170,31.17,1/1/2024,Brand X
4175,4.73,1/1/2024,Brand X
4180,2.4,1/1/2024,Brand X
4185,2.58,1/1/2024,Brand X
4190,38.96,1/1/2024,Brand X
4195,0.49,1/1/2024,Brand X
4200,52.01,1/1/2024,Brand X
4210,43.8,1/1/2024,Brand X
4220,2.59,1/1/2024,Brand X
4230,32.04,1/1/2024,Brand X
4240,46.88,1/1/2024,Brand X
4250,44.14,1/1/2024,Brand X
4260,27.81,1/1/2024,Brand X
4270,31.76,1/1/2024,Brand X
4280,36.01,1/1/2024,Brand X
4290,1.76,1/1/2024,Brand X
4300,26.74,1/1/2024,Brand X
4310,4.17,1/1/2024,Brand X
4320,46.82,1/1/2024,Brand X
4330,22.08,1/1/2024,Brand X
4340,0,1/1/2024,Brand X
4350,2.47,1/1/2024,Brand X
4360,48.44,1/1/2024,Brand X
4370,5.07,1/1/2024,Brand X
4380,20.98,1/1/2024,Brand X
4390,1.8,1/1/2024,Brand X
4400,3.67,1/1/2024,Brand X
4410,1.33,1/1/2024,Brand X
4420,34.46,1/1/2024,Brand X
4430,1.58,1/1/2024,Brand X
4440,0,1/1/2024,Brand X
4450,45.23,1/1/2024,Brand X
4460,36.62,1/1/2024,Brand X
4470,1.67,1/1/2024,Brand X
4480,48.4,1/1/2024,Brand X
4490,4.48,1/1/2024,Brand X
4500,2.48,1/1/2024,Brand X
4515,4.76,1/1/2024,Brand X
4530,4.02,1/1/2024,Brand X
4545,0.47,1/1/2024,Brand X
4560,46.13,1/1/2024,Brand X
4575,47.73,1/1/2024,Brand X
4590,0.23,1/1/2024,Brand X
4605,1.01,1/1/2024,Brand X
4620,1.75,1/1/2024,Brand X
4635,45.9,1/1/2024,Brand X
4650,3.26,1/1/2024,Brand X
4665,39.99,1/1/2024,Brand X
4680,39.47,1/1/2024,Brand X
4695,2.39,1/1/2024,Brand X
4710,2.64,1/1/2024,Brand X
4725,5.44,1/1/2024,Brand X
4740,1.86,1/1/2024,Brand X
4755,48.57,1/1/2024,Brand X
4770,3.16,1/1/2024,Brand X
4785,29.62,1/1/2024,Brand X
4800,1.24,1/1/2024,Brand X
4820,1.09,1/1/2024,Brand X
4840,47.21,1/1/2024,Brand X
4860,45.42,1/1/2024,Brand X
4880,5.83,1/1/2024,Brand X
4900,1.17,1/1/2024,Brand X
4920,0,1/1/2024,Brand X
4940,3.54,1/1/2024,Brand X
4960,2.37,1/1/2024,Brand X
4980,5.17,1/1/2024,Brand X
5000,3.82,1/1/2024,Brand X
5005,3.05,1/1/2024,Brand X
5010,4.05,1/1/2024,Brand X
5015,1.75,1/1/2024,Brand X
5020,0.86,1/1/2024,Brand X
5025,38.38,1/1/2024,Brand X
5030,1.22,1/1/2024,Brand X
5035,4.51,1/1/2024,Brand X
5040,42.03,1/1/2024,Brand X
5045,3.67,1/1/2024,Brand X
5050,2.07,1/1/2024,Brand X
5055,32.54,1/1/2024,Brand X
5060,2.49,1/1/2024,Brand X
5065,5.1,1/1/2024,Brand X
5070,1.49,1/1/2024,Brand X
5075,1.9,1/1/2024,Brand X
5080,23.84,1/1/2024,Brand X
5085,2.22,1/1/2024,Brand X
5090,5.2,1/1/2024,Brand X
5095,44.83,1/1/2024,Brand X
5100,1.26,1/1/2024,Brand X
5105,32.65,1/1/2024,Brand X
5110,1.26,1/1/2024,Brand X
5115,36.65,1/1/2024,Brand X
5120,46.81,1/1/2024,Brand X
5125,2.71,1/1/2024,Brand X
5130,2.55,1/1/2024,Brand X
5135,1.68,1/1/2024,Brand X
5140,5.52,1/1/2024,Brand X
5145,0.82,1/1/2024,Brand X
5150,0.07,1/1/2024,Brand X
5155,1.78,1/1/2024,Brand X
5160,38.48,1/1/2024,Brand X
5165,29.39,1/1/2024,Brand X
5170,3.37,1/1/2024,Brand X
5175,6.24,1/1/2024,Brand X
5180,6.39,1/1/2024,Brand X
5185,19.12,1/1/2024,Brand X
5190,0.51,1/1/2024,Brand X
5195,2.55,1/1/2024,Brand X
5200,32.52,1/1/2024,Brand X
5215,4.22,1/1/2024,Brand X
5230,37.91,1/1/2024,Brand X
5245,21.51,1/1/2024,Brand X
5260,48.61,1/1/2024,Brand X
5275,26.93,1/1/2024,Brand X
5290,2.56,1/1/2024,Brand X
5305,0,1/1/2024,Brand X
5320,26.78,1/1/2024,Brand X
5335,37.23,1/1/2024,Brand X
5350,4.6,1/1/2024,Brand X
5365,1.15,1/1/2024,Brand X
5380,26.63,1/1/2024,Brand X
5395,2.38,1/1/2024,Brand X
5410,4.89,1/1/2024,Brand X
5425,23.99,1/1/2024,Brand X
5440,32.83,1/1/2024,Brand X
5455,5.21,1/1/2024,Brand X
5470,32.37,1/1/2024,Brand X
5485,35.47,1/1/2024,Brand X
5500,37.9,1/1/2024,Brand X
5515,31.3,1/1/2024,Brand X
5530,45.19,1/1/2024,Brand X
5545,0,1/1/2024,Brand X
5560,1.14,1/1/2024,Brand X
5575,2.65,1/1/2024,Brand X
5590,3.94,1/1/2024,Brand X
5605,1.63,1/1/2024,Brand X
5620,4.91,1/1/2024,Brand X
5635,5.23,1/1/2024,Brand X
5650,2.61,1/1/2024,Brand X
5665,5.06,1/1/2024,Brand X
5680,0.79,1/1/2024,Brand X
5695,1.21,1/1/2024,Brand X
5710,0,1/1/2024,Brand X
5725,42.35,1/1/2024,Brand X
5740,37.43,1/1/2024,Brand X
5755,1.15,1/1/2024,Brand X
5770,1.56,1/1/2024,Brand X
5785,4.47,1/1/2024,Brand X
5800,1.29,1/1/2024,Brand X
5820,2.16,1/1/2024,Brand X
5840,3.67,1/1/2024,Brand X
5860,5.62,1/1/2024,Brand X
5880,5.22,1/1/2024,Brand X
5900,2.72,1/1/2024,Brand X
5920,0.43,1/1/2024,Brand X
5940,3.16,1/1/2024,Brand X
5960,3.55,1/1/2024,Brand X
5980,2.24,1/1/2024,Brand X
6000,6.31,1/1/2024,Brand X
6005,45.9,1/1/2024,Brand X
6010,45.65,1/1/2024,Brand X
6015,3.44,1/1/2024,Brand X
6020,32.82,1/1/2024,Brand X
6025,2.45,1/1/2024,Brand X
6030,2.38,1/1/2024,Brand X
6035,5.11,1/1/2024,Brand X
6040,19.68,1/1/2024,Brand X
6045,23.29,1/1/2024,Brand X
6050,3.89,1/1/2024,Brand X
6055,0.41,1/1/2024,Brand X
6060,23.01,1/1/2024,Brand X
6065,1.6,1/1/2024,Brand X
6070,2.57,1/1/2024,Brand X
6075,4.65,1/1/2024,Brand X
6080,31.18,1/1/2024,Brand X
6085,20.43,1/1/2024,Brand X
6090,2.41,1/1/2024,Brand X
6095,33.7,1/1/2024,Brand X
6100,1.77,1/1/2024,Brand X
6105,45.2,1/1/2024,Brand X
6110,2.5,1/1/2024,Brand X
6115,20.61,1/1/2024,Brand X
6120,2.1,1/1/2024,Brand X
6125,34.54,1/1/2024,Brand X
6130,1.52,1/1/2024,Brand X
6135,2.8,1/1/2024,Brand X
6140,2.13,1/1/2024,Brand X
6145,0,1/1/2024,Brand X
6150,2.66,1/1/2024,Brand X
6155,27.36,1/1/2024,Brand X
6160,4.46,1/1/2024,Brand X
6165,51.7,1/1/2024,Brand X
6170,2.52,1/1/2024,Brand X
6175,3.36,1/1/2024,Brand X
6180,0.61,1/1/2024,Brand X
6185,29.42,1/1/2024,Brand X
6190,43.93,1/1/2024,Brand X
6195,32.3,1/1/2024,Brand X
6200,0,1/1/2024,Brand X
6215,24.74,1/1/2024,Brand X
6230,0.15,1/1/2024,Brand X
6245,21.26,1/1/2024,Brand X
6260,22.22,1/1/2024,Brand X
6275,28.99,1/1/2024,Brand X
6290,1.67,1/1/2024,Brand X
6305,1.76,1/1/2024,Brand X
6320,2.99,1/1/2024,Brand X
6335,46.13,1/1/2024,Brand X
6350,3.92,1/1/2024,Brand X
6365,35.27,1/1/2024,Brand X
6380,4.02,1/1/2024,Brand X
6395,3.01,1/1/2024,Brand X
6410,27.17,1/1/2024,Brand X
6425,4.64,1/1/2024,Brand X
6440,47.24,1/1/2024,Brand X
6455,30.09,1/1/2024,Brand X
6470,0.77,1/1/2024,Brand X
6485,1.24,1/1/2024,Brand X
6500,0.74,1/1/2024,Brand X
6520,0,1/1/2024,Brand X
6540,0,1/1/2024,Brand X
6560,3.87,1/1/2024,Brand X
6580,1.42,1/1/2024,Brand X
6600,3.02,1/1/2024,Brand X
6620,5.41,1/1/2024,Brand X
6640,46,1/1/2024,Brand X
6660,2.73,1/1/2024,Brand X
6680,1.07,1/1/2024,Brand X
6700,2.12,1/1/2024,Brand X
6720,2.79,1/1/2024,Brand X
6740,33.73,1/1/2024,Brand X
6760,5.58,1/1/2024,Brand X
6780,4.85,1/1/2024,Brand X
6800,48.87,1/1/2024,Brand X
6820,2.83,1/1/2024,Brand X
6840,1.86,1/1/2024,Brand X
6860,1.73,1/1/2024,Brand X
6880,1.38,1/1/2024,Brand X
6900,30.84,1/1/2024,Brand X
6920,3.22,1/1/2024,Brand X
6940,0.55,1/1/2024,Brand X
6960,5.24,1/1/2024,Brand X
6980,2.96,1/1/2024,Brand X
7000,1.85,1/1/2024,Brand X
7005,2.15,1/1/2024,Brand X
7010,4.65,1/1/2024,Brand X
7015,5.78,1/1/2024,Brand X
7020,6.02,1/1/2024,Brand X
7025,3.04,1/1/2024,Brand X
7030,3.73,1/1/2024,Brand X
7035,3.44,1/1/2024,Brand X
7040,46.03,1/1/2024,Brand X
7045,2.98,1/1/2024,Brand X
7050,3.34,1/1/2024,Brand X
7055,28.83,1/1/2024,Brand X
7060,2.41,1/1/2024,Brand X
7065,2.83,1/1/2024,Brand X
7070,4.18,1/1/2024,Brand X
7075,2.78,1/1/2024,Brand X
7080,35.82,1/1/2024,Brand X
7085,34.14,1/1/2024,Brand X
7090,49.89,1/1/2024,Brand X
7095,27.08,1/1/2024,Brand X
7100,0.13,1/1/2024,Brand X
7110,41.36,1/1/2024,Brand X
7120,36.77,1/1/2024,Brand X
7130,0.83,1/1/2024,Brand X
7140,1.65,1/1/2024,Brand X
7150,1.26,1/1/2024,Brand X
7160,24.07,1/1/2024,Brand X
7170,1.56,1/1/2024,Brand X
7180,4.19,1/1/2024,Brand X
7190,37.14,1/1/2024,Brand X
7200,3.47,1/1/2024,Brand X
7210,19.92,1/1/2024,Brand X
7220,5.91,1/1/2024,Brand X
7230,5.04,1/1/2024,Brand X
7240,34.08,1/1/2024,Brand X
7250,2.68,1/1/2024,Brand X
7260,0.33,1/1/2024,Brand X
7270,0,1/1/2024,Brand X
7280,0,1/1/2024,Brand X
7290,42.02,1/1/2024,Brand X
7300,21.01,1/1/2024,Brand X
7315,29.22,1/1/2024,Brand X
7330,31.23,1/1/2024,Brand X
7345,5.4,1/1/2024,Brand X
7360,19.28,1/1/2024,Brand X
7375,22.78,1/1/2024,Brand X
7390,22.96,1/1/2024,Brand X
7405,1.78,1/1/2024,Brand X
7420,1.93,1/1/2024,Brand X
7435,3.78,1/1/2024,Brand X
7450,40.86,1/1/2024,Brand X
7465,1.05,1/1/2024,Brand X
7480,36.34,1/1/2024,Brand X
7495,6.76,1/1/2024,Brand X
7510,5.63,1/1/2024,Brand X
7525,0,1/1/2024,Brand X
7540,41.37,1/1/2024,Brand X
7555,2.08,1/1/2024,Brand X
7570,4.4,1/1/2024,Brand X
7585,0.99,1/1/2024,Brand X
7600,2.4,1/1/2024,Brand X
7615,38.35,1/1/2024,Brand X
7630,38.74,1/1/2024,Brand X
7645,0.96,1/1/2024,Brand X
7660,2.49,1/1/2024,Brand X
7675,3.62,1/1/2024,Brand X
7690,0,1/1/2024,Brand X
7705,29.36,1/1/2024,Brand X
7720,23.63,1/1/2024,Brand X
7735,4.93,1/1/2024,Brand X
7750,1.58,1/1/2024,Brand X
7765,3.61,1/1/2024,Brand X
7780,25.45,1/1/2024,Brand X
7795,5.43,1/1/2024,Brand X
7810,21.1,1/1/2024,Brand X
7825,45.86,1/1/2024,Brand X
7840,0.78,1/1/2024,Brand X
7855,0,1/1/2024,Brand X
7870,5.45,1/1/2024,Brand X
7885,20.94,1/1/2024,Brand X
7900,24.34,1/1/2024,Brand X
7915,0.95,1/1/2024,Brand X
7930,23.98,1/1/2024,Brand X
7945,19.98,1/1/2024,Brand X
7960,2.76,1/1/2024,Brand X
7975,2.91,1/1/2024,Brand X
7990,3.94,1/1/2024,Brand X
800,33.04,1/2/2024,Brand X
805,6.49,1/2/2024,Brand X
810,22.25,1/2/2024,Brand X
815,5.07,1/2/2024,Brand X
820,4.07,1/2/2024,Brand X
825,2.02,1/2/2024,Brand X
830,23.14,1/2/2024,Brand X
835,22.51,1/2/2024,Brand X
840,2.85,1/2/2024,Brand X
845,47.26,1/2/2024,Brand X
850,30.87,1/2/2024,Brand X
855,38.78,1/2/2024,Brand X
860,3.65,1/2/2024,Brand X
865,4.2,1/2/2024,Brand X
870,0.21,1/2/2024,Brand X
875,47.93,1/2/2024,Brand X
880,0.97,1/2/2024,Brand X
885,2.48,1/2/2024,Brand X
890,41.26,1/2/2024,Brand X
895,5.42,1/2/2024,Brand X
900,5.08,1/2/2024,Brand X
915,2.19,1/2/2024,Brand X
930,22.78,1/2/2024,Brand X
945,23.35,1/2/2024,Brand X
960,29.36,1/2/2024,Brand X
975,2.72,1/2/2024,Brand X
990,0.32,1/2/2024,Brand X
2000,5.47,1/2/2024,Brand X
2005,40.17,1/2/2024,Brand X
2010,33.22,1/2/2024,Brand X
2015,37.9,1/2/2024,Brand X
2020,30.5,1/2/2024,Brand X
2025,1.35,1/2/2024,Brand X
2030,29.17,1/2/2024,Brand X
2035,1.64,1/2/2024,Brand X
2040,4.03,1/2/2024,Brand X
2045,3.85,1/2/2024,Brand X
2050,2.96,1/2/2024,Brand X
2055,1.68,1/2/2024,Brand X
2060,27.74,1/2/2024,Brand X
2065,0.84,1/2/2024,Brand X
2070,44.37,1/2/2024,Brand X
2075,44.89,1/2/2024,Brand X
2080,44.2,1/2/2024,Brand X
2085,21.89,1/2/2024,Brand X
2090,0.06,1/2/2024,Brand X
2095,1.41,1/2/2024,Brand X
2100,3.07,1/2/2024,Brand X
2105,0,1/2/2024,Brand X
2110,42.18,1/2/2024,Brand X
2115,1.21,1/2/2024,Brand X
2120,1.29,1/2/2024,Brand X
2125,2.7,1/2/2024,Brand X
2130,0.28,1/2/2024,Brand X
2135,24.34,1/2/2024,Brand X
2140,40.47,1/2/2024,Brand X
2145,18.01,1/2/2024,Brand X
2150,3.08,1/2/2024,Brand X
2155,3.37,1/2/2024,Brand X
2160,2.3,1/2/2024,Brand X
2165,43.24,1/2/2024,Brand X
2170,42.57,1/2/2024,Brand X
2175,3.21,1/2/2024,Brand X
2180,45.83,1/2/2024,Brand X
2185,0.22,1/2/2024,Brand X
2190,36.62,1/2/2024,Brand X
2195,22.51,1/2/2024,Brand X
2200,0.95,1/2/2024,Brand X
2205,47.05,1/2/2024,Brand X
2210,46.46,1/2/2024,Brand X
2215,47.32,1/2/2024,Brand X
2220,5.74,1/2/2024,Brand X
2225,33.86,1/2/2024,Brand X
2230,19.31,1/2/2024,Brand X
2235,2.49,1/2/2024,Brand X
2240,25.22,1/2/2024,Brand X
2245,41.68,1/2/2024,Brand X
2250,30.1,1/2/2024,Brand X
2255,27.55,1/2/2024,Brand X
2260,41.47,1/2/2024,Brand X
2265,3.43,1/2/2024,Brand X
2270,19.6,1/2/2024,Brand X
2275,32.34,1/2/2024,Brand X
2280,30.38,1/2/2024,Brand X
2285,35.01,1/2/2024,Brand X
2290,4.72,1/2/2024,Brand X
2295,19.53,1/2/2024,Brand X
2300,1.85,1/2/2024,Brand X
2310,23.4,1/2/2024,Brand X
2320,37.26,1/2/2024,Brand X
2330,44.54,1/2/2024,Brand X
